"date","confirmed","confirmed_cum","deaths","deaths_cum","tests","tests_cum","positives","positives_cum","recovered","recovered_cum","hosp","hosp_cum","icu","icu_cum","vent","vent_cum"
2020-01-25,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,3,28,1,1,0,0,0,28,0,0,0,0,0,0,0,0
2020-03-02,4,32,0,1,0,0,4,32,0,0,0,0,0,0,0,0
2020-03-03,8,40,0,1,0,0,8,40,0,0,0,0,0,0,0,0
2020-03-04,11,51,1,2,0,0,11,51,0,0,0,0,0,0,0,0
2020-03-05,8,59,0,2,0,0,8,59,0,0,0,0,0,0,0,0
2020-03-06,4,63,0,2,0,0,4,63,0,0,0,0,0,0,0,0
2020-03-07,10,73,0,2,7214,7214,10,73,0,0,0,0,0,0,0,0
2020-03-08,7,80,1,3,794,8008,7,80,0,0,0,0,0,0,0,0
2020-03-09,12,92,0,3,363,8371,12,92,0,0,0,0,0,0,0,0
2020-03-10,20,112,0,3,1794,10165,20,112,0,0,0,0,0,0,0,0
2020-03-11,15,127,0,3,56,10221,15,127,0,0,0,0,0,0,0,0
2020-03-12,30,157,0,3,4635,14856,29,156,0,0,0,0,0,0,0,0
2020-03-13,41,198,1,4,1829,16685,41,197,0,0,0,0,0,0,0,0
2020-03-14,51,249,0,4,3811,20496,51,248,0,0,0,0,0,0,0,0
2020-03-15,48,297,2,6,2071,22567,48,296,0,0,0,0,0,0,0,0
2020-03-16,79,376,0,6,16097,38664,78,374,0,0,0,0,0,0,0,0
2020-03-17,78,454,0,6,5780,44444,78,452,0,0,0,0,0,0,0,0
2020-03-18,113,567,1,7,6556,51000,112,564,0,0,0,0,0,0,0,0
2020-03-19,142,709,0,7,32333,83333,141,705,28,28,0,0,0,0,0,0
2020-03-20,138,847,1,8,8060,91393,136,841,11,39,0,0,0,0,0,0
2020-03-21,225,1072,0,8,8885,100278,222,1063,12,51,0,0,0,0,0,0
2020-03-22,280,1352,0,8,8989,109267,270,1333,19,70,0,0,0,0,0,0
2020-03-23,328,1680,0,8,6344,115611,315,1648,27,97,0,0,0,0,0,0
2020-03-24,370,2050,1,9,7550,123161,363,2011,16,113,0,0,0,0,0,0
2020-03-25,380,2430,1,10,32881,156042,375,2386,16,129,0,0,0,0,0,0
2020-03-26,379,2809,4,14,20410,176452,370,2756,22,151,0,0,0,0,0,0
2020-03-27,371,3180,0,14,16270,192722,362,3118,53,204,0,0,0,0,0,0
2020-03-28,460,3640,1,15,15242,207964,451,3569,19,223,0,0,0,0,0,0
