"date","confirmed","deaths","tests","positives","recovered","hosp","icu","vent"
2020-01-25,4,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0
2020-01-27,1,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0
2020-01-29,4,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0
2020-02-01,1,0,0,0,0,0,0,0
2020-02-02,2,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0
2020-02-04,1,0,0,0,0,0,0,0
2020-02-05,1,0,0,0,0,0,0,0
2020-02-06,1,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0
2020-02-21,4,0,0,0,0,0,0,0
2020-02-22,1,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0
2020-02-27,3,0,0,0,0,0,0,0
2020-02-28,2,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0
2020-03-01,3,1,0,0,0,0,0,0
2020-03-02,4,0,0,4,0,0,0,0
2020-03-03,8,0,0,8,0,0,0,0
2020-03-04,11,1,0,11,0,0,0,0
2020-03-05,8,0,0,8,0,0,0,0
2020-03-06,4,0,0,4,0,0,0,0
2020-03-07,10,0,7214,10,0,0,0,0
2020-03-08,7,1,794,7,0,0,0,0
2020-03-09,12,0,363,12,0,0,0,0
2020-03-10,20,0,1794,20,0,0,0,0
2020-03-11,15,0,56,15,0,0,0,0
2020-03-12,30,0,4635,30,0,0,0,0
2020-03-13,41,1,1829,41,0,0,0,0
2020-03-14,51,0,3811,51,0,0,0,0
2020-03-15,48,2,2071,48,0,0,0,0
2020-03-16,79,0,16097,79,0,0,0,0
2020-03-17,78,0,5780,78,0,0,0,0
2020-03-18,113,1,6556,113,0,0,0,0
2020-03-19,142,0,32333,142,28,0,0,0
2020-03-20,138,1,8066,138,11,0,0,0
2020-03-21,225,0,8885,225,12,0,0,0
2020-03-22,280,0,9002,280,19,0,0,0
2020-03-23,328,0,6357,328,27,0,0,0
2020-03-24,370,1,7557,370,16,0,0,0
2020-03-25,380,1,32886,380,16,0,0,0
